in s,C1 in V
-1.0992E-06,2.15820E-02
-1.0988E-06,1.66992E-02
-1.0984E-06,1.66992E-02
-1.0980E-06,1.18164E-02
-1.0976E-06,1.18164E-02
-1.0972E-06,6.93359E-03
-1.0968E-06,1.18164E-02
-1.0964E-06,1.66992E-02
-1.0960E-06,1.18164E-02
-1.0956E-06,1.18164E-02
-1.0952E-06,-7.71484E-03
-1.0948E-06,1.18164E-02
-1.0944E-06,1.66992E-02
-1.0940E-06,1.66992E-02
-1.0936E-06,2.15820E-02
-1.0932E-06,1.18164E-02
-1.0928E-06,2.05078E-03
-1.0924E-06,1.66992E-02
-1.0920E-06,2.05078E-03
-1.0916E-06,6.93359E-03
-1.0912E-06,1.66992E-02
-1.0908E-06,6.93359E-03
-1.0904E-06,2.15820E-02
-1.0900E-06,-7.71484E-03
-1.0896E-06,6.93359E-03
-1.0892E-06,1.18164E-02
-1.0888E-06,-1.25977E-02
-1.0884E-06,1.18164E-02
-1.0880E-06,1.18164E-02
-1.0876E-06,1.18164E-02
-1.0872E-06,1.18164E-02
-1.0868E-06,1.66992E-02
-1.0864E-06,1.66992E-02
-1.0860E-06,1.18164E-02
-1.0856E-06,2.64648E-02
-1.0852E-06,2.05078E-03
-1.0848E-06,1.18164E-02
-1.0844E-06,1.66992E-02
-1.0840E-06,6.93359E-03
-1.0836E-06,1.18164E-02
-1.0832E-06,2.15820E-02
-1.0828E-06,2.15820E-02
-1.0824E-06,2.64648E-02
-1.0820E-06,1.18164E-02
-1.0816E-06,2.05078E-03
-1.0812E-06,2.05078E-03
-1.0808E-06,1.18164E-02
-1.0804E-06,-7.71484E-03
-1.0800E-06,6.93359E-03
-1.0796E-06,1.18164E-02
-1.0792E-06,-2.83203E-03
-1.0788E-06,6.93359E-03
-1.0784E-06,2.15820E-02
-1.0780E-06,1.66992E-02
-1.0776E-06,1.18164E-02
-1.0772E-06,2.05078E-03
-1.0768E-06,2.15820E-02
-1.0764E-06,1.66992E-02
-1.0760E-06,2.15820E-02
-1.0756E-06,2.15820E-02
-1.0752E-06,-1.25977E-02
-1.0748E-06,1.18164E-02
-1.0744E-06,2.05078E-03
-1.0740E-06,-2.83203E-03
-1.0736E-06,-2.83203E-03
-1.0732E-06,1.18164E-02
-1.0728E-06,-1.25977E-02
-1.0724E-06,-2.83203E-03
-1.0720E-06,1.66992E-02
-1.0716E-06,3.13477E-02
-1.0712E-06,2.15820E-02
-1.0708E-06,2.05078E-03
-1.0704E-06,6.93359E-03
-1.0700E-06,1.66992E-02
-1.0696E-06,1.66992E-02
-1.0692E-06,6.93359E-03
-1.0688E-06,2.15820E-02
-1.0684E-06,3.13477E-02
-1.0680E-06,2.15820E-02
-1.0676E-06,1.18164E-02
-1.0672E-06,1.66992E-02
-1.0668E-06,2.05078E-03
-1.0664E-06,-2.83203E-03
-1.0660E-06,2.05078E-03
-1.0656E-06,-2.83203E-03
-1.0652E-06,-7.71484E-03
-1.0648E-06,6.93359E-03
-1.0644E-06,2.05078E-03
-1.0640E-06,6.93359E-03
-1.0636E-06,1.18164E-02
-1.0632E-06,6.93359E-03
-1.0628E-06,2.64648E-02
-1.0624E-06,1.18164E-02
-1.0620E-06,1.66992E-02
-1.0616E-06,1.18164E-02
-1.0612E-06,6.93359E-03
-1.0608E-06,1.18164E-02
-1.0604E-06,2.05078E-03
-1.0600E-06,2.05078E-03
-1.0596E-06,2.15820E-02
-1.0592E-06,2.15820E-02
-1.0588E-06,1.18164E-02
-1.0584E-06,1.18164E-02
-1.0580E-06,3.13477E-02
-1.0576E-06,1.66992E-02
-1.0572E-06,-2.83203E-03
-1.0568E-06,-7.71484E-03
-1.0564E-06,6.93359E-03
-1.0560E-06,1.66992E-02
-1.0556E-06,1.66992E-02
-1.0552E-06,6.93359E-03
-1.0548E-06,-7.71484E-03
-1.0544E-06,2.64648E-02
-1.0540E-06,1.66992E-02
-1.0536E-06,1.66992E-02
-1.0532E-06,-2.83203E-03
-1.0528E-06,2.64648E-02
-1.0524E-06,1.66992E-02
-1.0520E-06,6.93359E-03
-1.0516E-06,2.05078E-03
-1.0512E-06,2.05078E-03
-1.0508E-06,6.93359E-03
-1.0504E-06,1.66992E-02
-1.0500E-06,2.05078E-03
-1.0496E-06,1.18164E-02
-1.0492E-06,1.66992E-02
-1.0488E-06,-2.83203E-03
-1.0484E-06,-2.83203E-03
-1.0480E-06,1.66992E-02
-1.0476E-06,1.66992E-02
-1.0472E-06,2.64648E-02
-1.0468E-06,2.05078E-03
-1.0464E-06,1.66992E-02
-1.0460E-06,1.18164E-02
-1.0456E-06,2.05078E-03
-1.0452E-06,2.05078E-03
-1.0448E-06,-2.83203E-03
-1.0444E-06,2.15820E-02
-1.0440E-06,6.93359E-03
-1.0436E-06,2.05078E-03
-1.0432E-06,-2.83203E-03
-1.0428E-06,2.05078E-03
-1.0424E-06,2.15820E-02
-1.0420E-06,6.93359E-03
-1.0416E-06,6.93359E-03
-1.0412E-06,2.15820E-02
-1.0408E-06,2.15820E-02
-1.0404E-06,6.93359E-03
-1.0400E-06,2.15820E-02
-1.0396E-06,1.66992E-02
-1.0392E-06,-1.25977E-02
-1.0388E-06,2.05078E-03
-1.0384E-06,1.18164E-02
-1.0380E-06,1.66992E-02
-1.0376E-06,2.05078E-03
-1.0372E-06,1.66992E-02
-1.0368E-06,1.66992E-02
-1.0364E-06,2.05078E-03
-1.0360E-06,6.93359E-03
-1.0356E-06,1.18164E-02
-1.0352E-06,1.66992E-02
-1.0348E-06,1.66992E-02
