in s,C1 in V
-4.64000E-08,1.10723E-02
-4.62000E-08,1.30254E-02
-4.60000E-08,1.54668E-02
-4.58000E-08,1.69316E-02
-4.56000E-08,1.74199E-02
-4.54000E-08,1.79082E-02
-4.52000E-08,1.93730E-02
-4.50000E-08,2.13262E-02
-4.48000E-08,2.32793E-02
-4.46000E-08,2.52324E-02
-4.44000E-08,2.71855E-02
-4.42000E-08,2.86504E-02
-4.40000E-08,3.01152E-02
-4.38000E-08,3.25566E-02
-4.36000E-08,3.54863E-02
-4.34000E-08,3.84160E-02
-4.32000E-08,4.13457E-02
-4.30000E-08,4.47637E-02
-4.28000E-08,4.81816E-02
-4.26000E-08,5.06230E-02
-4.24000E-08,5.30645E-02
-4.22000E-08,5.59941E-02
-4.20000E-08,5.94121E-02
-4.18000E-08,6.23418E-02
-4.16000E-08,6.52715E-02
-4.14000E-08,6.86895E-02
-4.12000E-08,7.25957E-02
-4.10000E-08,7.60137E-02
-4.08000E-08,7.94316E-02
-4.06000E-08,8.28496E-02
-4.04000E-08,8.57793E-02
-4.02000E-08,8.82207E-02
-4.00000E-08,9.11504E-02
-3.98000E-08,9.50566E-02
-3.96000E-08,9.84746E-02
-3.94000E-08,1.01404E-01
-3.92000E-08,1.03846E-01
-3.90000E-08,1.06775E-01
-3.88000E-08,1.08729E-01
-3.86000E-08,1.10193E-01
-3.84000E-08,1.12146E-01
-3.82000E-08,1.14588E-01
-3.80000E-08,1.16053E-01
-3.78000E-08,1.16541E-01
-3.76000E-08,1.18006E-01
-3.74000E-08,1.21424E-01
-3.72000E-08,1.24354E-01
-3.70000E-08,1.25330E-01
-3.68000E-08,1.25330E-01
-3.66000E-08,1.26795E-01
-3.64000E-08,1.29236E-01
-3.62000E-08,1.30701E-01
-3.60000E-08,1.32166E-01
-3.58000E-08,1.34607E-01
-3.56000E-08,1.37049E-01
-3.54000E-08,1.37537E-01
-3.52000E-08,1.36561E-01
-3.50000E-08,1.37049E-01
-3.48000E-08,1.39490E-01
-3.46000E-08,1.41443E-01
-3.44000E-08,1.42420E-01
-3.42000E-08,1.43396E-01
-3.40000E-08,1.44861E-01
-3.38000E-08,1.46326E-01
-3.36000E-08,1.46814E-01
-3.34000E-08,1.47303E-01
-3.32000E-08,1.48279E-01
-3.30000E-08,1.49744E-01
-3.28000E-08,1.50721E-01
-3.26000E-08,1.51209E-01
-3.24000E-08,1.51697E-01
-3.22000E-08,1.52674E-01
-3.20000E-08,1.53650E-01
-3.18000E-08,1.53650E-01
-3.16000E-08,1.53162E-01
-3.14000E-08,1.53162E-01
-3.12000E-08,1.54627E-01
-3.10000E-08,1.56092E-01
-3.08000E-08,1.56580E-01
-3.06000E-08,1.56580E-01
-3.04000E-08,1.57068E-01
-3.02000E-08,1.58533E-01
-3.00000E-08,1.59510E-01
-2.98000E-08,1.59021E-01
-2.96000E-08,1.57557E-01
-2.94000E-08,1.57068E-01
-2.92000E-08,1.57557E-01
-2.90000E-08,1.57557E-01
-2.88000E-08,1.57557E-01
-2.86000E-08,1.57068E-01
-2.84000E-08,1.56580E-01
-2.82000E-08,1.56092E-01
-2.80000E-08,1.56092E-01
-2.78000E-08,1.57068E-01
-2.76000E-08,1.57068E-01
-2.74000E-08,1.56092E-01
-2.72000E-08,1.55115E-01
-2.70000E-08,1.55604E-01
-2.68000E-08,1.55115E-01
-2.66000E-08,1.53162E-01
-2.64000E-08,1.51697E-01
-2.62000E-08,1.52186E-01
-2.60000E-08,1.52674E-01
-2.58000E-08,1.50721E-01
-2.56000E-08,1.47303E-01
-2.54000E-08,1.45350E-01
-2.52000E-08,1.44861E-01
-2.50000E-08,1.43396E-01
-2.48000E-08,1.40955E-01
-2.46000E-08,1.38025E-01
-2.44000E-08,1.35096E-01
-2.42000E-08,1.31678E-01
-2.40000E-08,1.28748E-01
-2.38000E-08,1.26795E-01
-2.36000E-08,1.25330E-01
-2.34000E-08,1.23377E-01
-2.32000E-08,1.19959E-01
-2.30000E-08,1.15564E-01
-2.28000E-08,1.11658E-01
-2.26000E-08,1.08240E-01
-2.24000E-08,1.05311E-01
-2.22000E-08,1.02869E-01
-2.20000E-08,9.99395E-02
-2.18000E-08,9.65215E-02
-2.16000E-08,9.31035E-02
-2.14000E-08,9.01738E-02
-2.12000E-08,8.72441E-02
-2.10000E-08,8.43145E-02
-2.08000E-08,8.08965E-02
-2.06000E-08,7.74785E-02
-2.04000E-08,7.45488E-02
-2.02000E-08,7.16191E-02
-2.00000E-08,6.91777E-02
-1.98000E-08,6.67363E-02
