in s,C1 in V
-3.3900E-08,5.73352E-02
-3.3800E-08,5.77258E-02
-3.3700E-08,5.81164E-02
-3.3600E-08,5.83117E-02
-3.3500E-08,5.83117E-02
-3.3400E-08,5.83117E-02
-3.3300E-08,5.85070E-02
-3.3200E-08,5.87023E-02
-3.3100E-08,5.90930E-02
-3.3000E-08,5.94836E-02
-3.2900E-08,6.00695E-02
-3.2800E-08,6.02648E-02
-3.2700E-08,6.04602E-02
-3.2600E-08,6.04602E-02
-3.2500E-08,6.02648E-02
-3.2400E-08,6.04602E-02
-3.2300E-08,6.08508E-02
-3.2200E-08,6.12414E-02
-3.2100E-08,6.18273E-02
-3.2000E-08,6.24133E-02
-3.1900E-08,6.28039E-02
-3.1800E-08,6.29992E-02
-3.1700E-08,6.29992E-02
-3.1600E-08,6.29992E-02
-3.1500E-08,6.29992E-02
-3.1400E-08,6.29992E-02
-3.1300E-08,6.31945E-02
-3.1200E-08,6.35852E-02
-3.1100E-08,6.39758E-02
-3.1000E-08,6.41711E-02
-3.0900E-08,6.43664E-02
-3.0800E-08,6.45617E-02
-3.0700E-08,6.45617E-02
-3.0600E-08,6.47570E-02
-3.0500E-08,6.47570E-02
-3.0400E-08,6.49523E-02
-3.0300E-08,6.51477E-02
-3.0200E-08,6.55383E-02
-3.0100E-08,6.57336E-02
-3.0000E-08,6.59289E-02
-2.9900E-08,6.61242E-02
-2.9800E-08,6.61242E-02
-2.9700E-08,6.61242E-02
-2.9600E-08,6.61242E-02
-2.9500E-08,6.63195E-02
-2.9400E-08,6.63195E-02
-2.9300E-08,6.65148E-02
-2.9200E-08,6.67102E-02
-2.9100E-08,6.69055E-02
-2.9000E-08,6.69055E-02
-2.8900E-08,6.67102E-02
-2.8800E-08,6.67102E-02
-2.8700E-08,6.67102E-02
-2.8600E-08,6.67102E-02
-2.8500E-08,6.67102E-02
-2.8400E-08,6.67102E-02
-2.8300E-08,6.67102E-02
-2.8200E-08,6.67102E-02
-2.8100E-08,6.67102E-02
-2.8000E-08,6.67102E-02
-2.7900E-08,6.67102E-02
-2.7800E-08,6.65148E-02
-2.7700E-08,6.65148E-02
-2.7600E-08,6.63195E-02
-2.7500E-08,6.63195E-02
-2.7400E-08,6.61242E-02
-2.7300E-08,6.61242E-02
-2.7200E-08,6.59289E-02
-2.7100E-08,6.57336E-02
-2.7000E-08,6.57336E-02
-2.6900E-08,6.55383E-02
-2.6800E-08,6.53430E-02
-2.6700E-08,6.51477E-02
-2.6600E-08,6.49523E-02
-2.6500E-08,6.47570E-02
-2.6400E-08,6.45617E-02
-2.6300E-08,6.43664E-02
-2.6200E-08,6.41711E-02
-2.6100E-08,6.39758E-02
-2.6000E-08,6.37805E-02
-2.5900E-08,6.35852E-02
-2.5800E-08,6.33898E-02
-2.5700E-08,6.29992E-02
-2.5600E-08,6.26086E-02
-2.5500E-08,6.22180E-02
-2.5400E-08,6.16320E-02
-2.5300E-08,6.10461E-02
-2.5200E-08,6.04602E-02
-2.5100E-08,5.98742E-02
-2.5000E-08,5.92883E-02
-2.4900E-08,5.88977E-02
-2.4800E-08,5.83117E-02
-2.4700E-08,5.77258E-02
-2.4600E-08,5.73352E-02
-2.4500E-08,5.67492E-02
-2.4400E-08,5.59680E-02
-2.4300E-08,5.51867E-02
-2.4200E-08,5.42102E-02
-2.4100E-08,5.32336E-02
-2.4000E-08,5.20617E-02
-2.3900E-08,5.08898E-02
-2.3800E-08,4.97180E-02
-2.3700E-08,4.83508E-02
-2.3600E-08,4.71789E-02
-2.3500E-08,4.60070E-02
-2.3400E-08,4.48352E-02
-2.3300E-08,4.36633E-02
-2.3200E-08,4.22961E-02
-2.3100E-08,4.09289E-02
-2.3000E-08,3.93664E-02
-2.2900E-08,3.76086E-02
-2.2800E-08,3.58508E-02
-2.2700E-08,3.40930E-02
-2.2600E-08,3.23352E-02
-2.2500E-08,3.07727E-02
-2.2400E-08,2.90148E-02
-2.2300E-08,2.74523E-02
-2.2200E-08,2.58898E-02
-2.2100E-08,2.41320E-02
-2.2000E-08,2.25695E-02
-2.1900E-08,2.10070E-02
-2.1800E-08,1.94445E-02
-2.1700E-08,1.76867E-02
-2.1600E-08,1.61242E-02
-2.1500E-08,1.45617E-02
-2.1400E-08,1.28039E-02
-2.1300E-08,1.12414E-02
-2.1200E-08,9.67891E-03
-2.1100E-08,8.11641E-03
-2.1000E-08,6.55391E-03
-2.0900E-08,4.99141E-03
-2.0800E-08,3.42891E-03
-2.0700E-08,1.86641E-03
-2.0600E-08,1.08594E-04
-2.0500E-08,-1.45391E-03
-2.0400E-08,-3.21172E-03
-2.0300E-08,-4.96953E-03
-2.0200E-08,-6.72734E-03
-2.0100E-08,-8.28984E-03
-2.0000E-08,-9.85234E-03
-1.9900E-08,-1.14148E-02
-1.9800E-08,-1.27820E-02
-1.9700E-08,-1.41492E-02
-1.9600E-08,-1.55164E-02
-1.9500E-08,-1.68836E-02
-1.9400E-08,-1.84461E-02
-1.9300E-08,-1.96180E-02
-1.9200E-08,-2.09852E-02
-1.9100E-08,-2.21570E-02
-1.9000E-08,-2.33289E-02
-1.8900E-08,-2.43055E-02
-1.8800E-08,-2.52820E-02
-1.8700E-08,-2.64539E-02
-1.8600E-08,-2.74305E-02
-1.8500E-08,-2.87977E-02
-1.8400E-08,-2.99695E-02
-1.8300E-08,-3.11414E-02
-1.8200E-08,-3.23133E-02
-1.8100E-08,-3.30945E-02
