in s,C1 in V
-5.16000E-08,2.62090E-02
-5.14000E-08,2.27910E-02
-5.12000E-08,1.83965E-02
-5.10000E-08,1.49785E-02
-5.08000E-08,1.25371E-02
-5.06000E-08,9.11914E-03
-5.04000E-08,4.72461E-03
-5.02000E-08,8.18359E-04
-5.00000E-08,-2.11133E-03
-4.98000E-08,-4.55273E-03
-4.96000E-08,-7.97070E-03
-4.94000E-08,-1.18770E-02
-4.92000E-08,-1.48066E-02
-4.90000E-08,-1.72480E-02
-4.88000E-08,-1.87129E-02
-4.86000E-08,-2.01777E-02
-4.84000E-08,-2.21309E-02
-4.82000E-08,-2.45723E-02
-4.80000E-08,-2.70137E-02
-4.78000E-08,-2.99434E-02
-4.76000E-08,-3.23848E-02
-4.74000E-08,-3.38496E-02
-4.72000E-08,-3.53145E-02
-4.70000E-08,-3.67793E-02
-4.68000E-08,-3.92207E-02
-4.66000E-08,-4.11738E-02
-4.64000E-08,-4.21504E-02
-4.62000E-08,-4.16621E-02
-4.60000E-08,-4.11738E-02
-4.58000E-08,-4.16621E-02
-4.56000E-08,-4.26387E-02
-4.54000E-08,-4.41035E-02
-4.52000E-08,-4.45918E-02
-4.50000E-08,-4.45918E-02
-4.48000E-08,-4.50801E-02
-4.46000E-08,-4.65449E-02
-4.44000E-08,-4.80098E-02
-4.42000E-08,-4.89863E-02
-4.40000E-08,-4.84980E-02
-4.38000E-08,-4.84980E-02
-4.36000E-08,-4.94746E-02
-4.34000E-08,-5.09395E-02
-4.32000E-08,-5.09395E-02
-4.30000E-08,-4.99629E-02
-4.28000E-08,-5.04512E-02
-4.26000E-08,-5.24043E-02
-4.24000E-08,-5.43574E-02
-4.22000E-08,-5.48457E-02
-4.20000E-08,-5.43574E-02
-4.18000E-08,-5.43574E-02
-4.16000E-08,-5.43574E-02
-4.14000E-08,-5.43574E-02
-4.12000E-08,-5.53340E-02
-4.10000E-08,-5.67988E-02
-4.08000E-08,-5.77754E-02
-4.06000E-08,-5.72871E-02
-4.04000E-08,-5.63105E-02
-4.02000E-08,-5.67988E-02
-4.00000E-08,-5.82637E-02
-3.98000E-08,-5.87520E-02
-3.96000E-08,-5.82637E-02
-3.94000E-08,-5.72871E-02
-3.92000E-08,-5.77754E-02
-3.90000E-08,-5.82637E-02
-3.88000E-08,-5.82637E-02
-3.86000E-08,-5.72871E-02
-3.84000E-08,-5.67988E-02
-3.82000E-08,-5.77754E-02
-3.80000E-08,-5.87520E-02
-3.78000E-08,-5.87520E-02
-3.76000E-08,-5.77754E-02
-3.74000E-08,-5.63105E-02
-3.72000E-08,-5.63105E-02
-3.70000E-08,-5.67988E-02
-3.68000E-08,-5.72871E-02
-3.66000E-08,-5.67988E-02
-3.64000E-08,-5.63105E-02
-3.62000E-08,-5.63105E-02
-3.60000E-08,-5.63105E-02
-3.58000E-08,-5.63105E-02
-3.56000E-08,-5.58223E-02
-3.54000E-08,-5.53340E-02
-3.52000E-08,-5.48457E-02
-3.50000E-08,-5.38691E-02
-3.48000E-08,-5.28926E-02
-3.46000E-08,-5.19160E-02
-3.44000E-08,-5.09395E-02
-3.42000E-08,-4.99629E-02
-3.40000E-08,-4.89863E-02
-3.38000E-08,-4.80098E-02
-3.36000E-08,-4.60566E-02
-3.34000E-08,-4.36152E-02
-3.32000E-08,-4.16621E-02
-3.30000E-08,-4.01973E-02
-3.28000E-08,-3.82441E-02
-3.26000E-08,-3.48262E-02
-3.24000E-08,-3.18965E-02
-3.22000E-08,-2.99434E-02
-3.20000E-08,-2.79902E-02
-3.18000E-08,-2.45723E-02
-3.16000E-08,-2.11543E-02
-3.14000E-08,-1.87129E-02
-3.12000E-08,-1.67598E-02
-3.10000E-08,-1.33418E-02
-3.08000E-08,-8.94727E-03
-3.06000E-08,-5.04102E-03
-3.04000E-08,-2.11133E-03
-3.02000E-08,8.18359E-04
-3.00000E-08,3.74805E-03
-2.98000E-08,6.67773E-03
-2.96000E-08,9.11914E-03
-2.94000E-08,1.20488E-02
-2.92000E-08,1.49785E-02
-2.90000E-08,1.79082E-02
-2.88000E-08,2.13262E-02
-2.86000E-08,2.47441E-02
-2.84000E-08,2.71855E-02
-2.82000E-08,2.91387E-02
-2.80000E-08,3.10918E-02
-2.78000E-08,3.40215E-02
-2.76000E-08,3.69512E-02
-2.74000E-08,3.89043E-02
-2.72000E-08,3.98809E-02
-2.70000E-08,4.18340E-02
-2.68000E-08,4.42754E-02
-2.66000E-08,4.62285E-02
-2.64000E-08,4.67168E-02
-2.62000E-08,4.67168E-02
-2.60000E-08,4.72051E-02
-2.58000E-08,4.86699E-02
-2.56000E-08,5.11113E-02
-2.54000E-08,5.30645E-02
-2.52000E-08,5.35527E-02
-2.50000E-08,5.30645E-02
-2.48000E-08,5.35527E-02
-2.46000E-08,5.45293E-02
-2.44000E-08,5.50176E-02
-2.42000E-08,5.45293E-02
-2.40000E-08,5.45293E-02
-2.38000E-08,5.59941E-02
-2.36000E-08,5.79473E-02
-2.34000E-08,5.89238E-02
-2.32000E-08,5.84355E-02
-2.30000E-08,5.84355E-02
-2.28000E-08,5.94121E-02
-2.26000E-08,6.03887E-02
-2.24000E-08,6.08770E-02
-2.22000E-08,6.13652E-02
-2.20000E-08,6.18535E-02
-2.18000E-08,6.23418E-02
-2.16000E-08,6.23418E-02
-2.14000E-08,6.18535E-02
-2.12000E-08,6.18535E-02
-2.10000E-08,6.28301E-02
-2.08000E-08,6.38066E-02
-2.06000E-08,6.47832E-02
-2.04000E-08,6.47832E-02
-2.02000E-08,6.47832E-02
-2.00000E-08,6.52715E-02
-1.98000E-08,6.57598E-02
-1.96000E-08,6.57598E-02
-1.94000E-08,6.52715E-02
-1.92000E-08,6.52715E-02
-1.90000E-08,6.62480E-02
-1.88000E-08,6.72246E-02
-1.86000E-08,6.72246E-02
-1.84000E-08,6.67363E-02
-1.82000E-08,6.62480E-02
-1.80000E-08,6.62480E-02
-1.78000E-08,6.57598E-02
-1.76000E-08,6.52715E-02
-1.74000E-08,6.52715E-02
-1.72000E-08,6.57598E-02
-1.70000E-08,6.62480E-02
-1.68000E-08,6.62480E-02
-1.66000E-08,6.52715E-02
-1.64000E-08,6.47832E-02
-1.62000E-08,6.47832E-02
-1.60000E-08,6.42949E-02
-1.58000E-08,6.38066E-02
-1.56000E-08,6.42949E-02
-1.54000E-08,6.52715E-02
-1.52000E-08,6.52715E-02
-1.50000E-08,6.38066E-02
-1.48000E-08,6.18535E-02
-1.46000E-08,6.13652E-02
-1.44000E-08,6.03887E-02
-1.42000E-08,5.84355E-02
-1.40000E-08,5.55059E-02
-1.38000E-08,5.35527E-02
-1.36000E-08,5.25762E-02
-1.34000E-08,5.15996E-02
-1.32000E-08,4.96465E-02
-1.30000E-08,4.72051E-02
-1.28000E-08,4.37871E-02
-1.26000E-08,4.03691E-02
-1.24000E-08,3.69512E-02
-1.22000E-08,3.40215E-02
-1.20000E-08,3.15801E-02
-1.18000E-08,2.86504E-02
-1.16000E-08,2.52324E-02
-1.14000E-08,2.13262E-02
-1.12000E-08,1.74199E-02
-1.10000E-08,1.35137E-02
-1.08000E-08,1.05840E-02
-1.06000E-08,8.14258E-03
-1.04000E-08,4.72461E-03
-1.02000E-08,3.30078E-04
-1.00000E-08,-3.57617E-03
-9.80000E-09,-6.50586E-03
-9.60000E-09,-8.45898E-03
-9.40000E-09,-1.09004E-02
-9.20000E-09,-1.43184E-02
-9.00000E-09,-1.72480E-02
